run_id,algorithm,actor_name,root_identity,run_checksum,lap_limit,consecutive_evaluations,budget,censored,processed_first_interactions,first_interactions,first_training_duration,first_episodes,confirmation_interactions,confirmation_training_duration,confirmation_episodes
a2c-large-frenet-seed-0,a2c,large,0,79483ebc146b1df6037bfdefe2a5ebef8b6b50e1c6aa7cafe647a1f5e5a53fe5,34,3,2000000,False,400000,400000,73.78543909974906,2267,500000,91.50129209997976,2436
a2c-large-frenet-seed-1,a2c,large,1,cc51518428702630c8f569ab7d1df3225dbe0d40fc30512b3a631d1c552e5082,34,3,2000000,False,1050000,1050000,192.7507114999753,5016,1150000,210.47330179966957,5138
a2c-large-frenet-seed-2,a2c,large,2,036b9ec86e6bfd5e7830896fcfe5cbfdfb97f629e8aa21f2a84847ac94fe9c16,34,3,2000000,False,750000,750000,125.33953610072058,1771,850000,141.6318503007642,1907
a2c-large-frenet-seed-3,a2c,large,3,675edc5dd3b4e5f61850c54ce21edc1c42a4ceb0c15abae300eb37aaa1e0133f,34,3,2000000,False,1050000,1050000,195.29241970064686,14614,1150000,211.6035707004812,14749
a2c-large-frenet-seed-4,a2c,large,4,633a79d137b747782a49079ffbbe14fdced34614b968e67ad42092b81ff0f715,34,3,2000000,False,550000,700000,117.43374959946959,2526,800000,133.863195699505,2666
a2c-medium-frenet-seed-0,a2c,medium,0,e8642391a18bd3d9d8a6bbe63285f0153e8bb29f2495b8a1b6b6d672d1d34c1b,34,3,2000000,False,850000,850000,144.93750580030246,3147,950000,161.9002972003218,3298
a2c-medium-frenet-seed-1,a2c,medium,1,b3dac8abf7a4757cdfba91623bf232e5701db7f4015080547b63eca5687c361d,34,3,2000000,False,1150000,1150000,187.15824449948195,2747,1250000,203.3192328993391,2893
a2c-medium-frenet-seed-2,a2c,medium,2,229fe70bb68869840e6623c860267f27642fc2dd85106bd12a954fe566de2830,34,3,2000000,False,600000,600000,97.89324849976038,1517,700000,113.84685849970992,1647
a2c-medium-frenet-seed-3,a2c,medium,3,135ee0df4e08dbe9e6b5fa22b3297252ca0aa88837f5be846a808b4aa96d807e,34,3,2000000,False,400000,400000,66.6761065000901,2066,500000,82.8562480000619,2256
a2c-medium-frenet-seed-4,a2c,medium,4,bfbe7000e586f49911e8a8d0741fe610f56f8ba8a70ca8bf2d01250c4d59a78b,34,3,2000000,False,800000,800000,136.50580910047574,5276,900000,153.73855370049932,5425
a2c-small-frenet-seed-0,a2c,small,0,530a94f6e757947f661ae123e470f164bfa8db875605d45c73d3d6e6d6372747,34,3,2000000,False,700000,700000,119.47151369989297,2119,800000,137.59002519992282,2251
