root_identity,common_completed_circuit_count,frenet_minus_lidar_lap_time,circuit_identities,frenet_run_checksum,lidar_run_checksum
0,32,1.6450000000000002,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31,bab363e55a360eb00553fdc6cb2e38bb645be3f53ea32d82ec7559ced012312a,ab652531bcbf2c266d3f47b32c1e525b6eba68b894c28ade911e708138280d58
1,31,-0.40645161290322607,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31,6e8a011e9c5cb23dd6f4c3a84be257f0e6f0f2cf2c6ea210d98225d3ed80a576,96dabbd5c75a119ccfd97f7e549d57d52f6dbf325ea124763540d1b296048b14
2,30,5.214666666666667,0;1;2;3;4;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31,e03c3987ee56736894af5428d2d3553eddf8bb3a7e2bba5096f1f56e2fc31d70,988f6b1e5d460b95ed248b188b52fb251b63cb80812202454c84270329dcd48a
3,31,2.2116129032258067,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;29;30;31,4938bc705ffd26571c8c75aade77212777c47be3a3e215d56216441dd9d7d176,fab0373af06cffcb5c5e7147ecb0cba42c7a57d59f218cb310454aa2f9c34c62
4,31,4.856774193548387,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31,18c61c9b32a94bdb272ad9de7c49c2ea9fa33eb89a76994ba6c21eff5770f639,096b01a1574d8d76734ec6c18c267bc550cbf0200dba990111e47f656b467157
5,30,1.6279999999999997,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;27;28;29;30;31,6f4c7b67cafeaf4f9ff9ffb4a2c5ceabc0c264760769354dc2584002159e4ced,86d1dc0da78cf07895f98ec608b5da2bb41de9c655fe94e665d9fb89ebef9cdf
6,32,1.10375,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31,5692058418b06cf70128737f1f43cb6f6c7e6f9af76a46508ceddac837ef31fa,4bc28ee4d478b5f682da5fba39cbc076e138b90f0a2e0dab10528b489b33798a
7,32,-2.7975000000000003,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31,aaac5085f3522e34f85e991f7599bcc69ba083753a4112da295276c4f9eb255d,af40a3eea0c180a775d4d5345407dbdad79ddc7c775421c8e2b27ed9ca275bdf
8,32,2.5012499999999998,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31,8aee8133163ca866649a9641e8888b1b5f869b304db43d5747c215e595f55382,0b0dd61b12487723a2e558f7835118ee9ab279277c8cd458160ec668ccabd202
9,32,6.12,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31,40e97a32f964ef420d678ec20eefdb05c6a6838a824ac416d98b7ac77c30ef10,0cf899d9bfd98f76ed5d36d26b1feb936af4f3b83aaa58fad62dd23198e390b5
