actor_name,algorithm,censored_root_count,collection_throughput__confidence_interval_high,collection_throughput__confidence_interval_low,collection_throughput__count,collection_throughput__first_quartile,collection_throughput__maximum,collection_throughput__mean,collection_throughput__median,collection_throughput__minimum,collection_throughput__sample_standard_deviation,collection_throughput__third_quartile,completed_lap_count,completed_lap_denominator,completed_lap_time__confidence_interval_high,completed_lap_time__confidence_interval_low,completed_lap_time__count,completed_lap_time__first_quartile,completed_lap_time__maximum,completed_lap_time__mean,completed_lap_time__median,completed_lap_time__minimum,completed_lap_time__sample_standard_deviation,completed_lap_time__third_quartile,converged_root_count,end_to_end_duration__confidence_interval_high,end_to_end_duration__confidence_interval_low,end_to_end_duration__count,end_to_end_duration__first_quartile,end_to_end_duration__maximum,end_to_end_duration__mean,end_to_end_duration__median,end_to_end_duration__minimum,end_to_end_duration__sample_standard_deviation,end_to_end_duration__third_quartile,final_completed_root_count,final_completion_rate__confidence_interval_high,final_completion_rate__confidence_interval_low,final_completion_rate__count,final_completion_rate__first_quartile,final_completion_rate__maximum,final_completion_rate__mean,final_completion_rate__median,final_completion_rate__minimum,final_completion_rate__sample_standard_deviation,final_completion_rate__third_quartile,final_crash_rate__confidence_interval_high,final_crash_rate__confidence_interval_low,final_crash_rate__count,final_crash_rate__first_quartile,final_crash_rate__maximum,final_crash_rate__mean,final_crash_rate__median,final_crash_rate__minimum,final_crash_rate__sample_standard_deviation,final_crash_rate__third_quartile,final_mean_progress__confidence_interval_high,final_mean_progress__confidence_interval_low,final_mean_progress__count,final_mean_progress__first_quartile,final_mean_progress__maximum,final_mean_progress__mean,final_mean_progress__median,final_mean_progress__minimum,final_mean_progress__sample_standard_deviation,final_mean_progress__third_quartile,final_mean_return__confidence_interval_high,final_mean_return__confidence_interval_low,final_mean_return__count,final_mean_return__first_quartile,final_mean_return__maximum,final_mean_return__mean,final_mean_return__median,final_mean_return__minimum,final_mean_return__sample_standard_deviation,final_mean_return__third_quartile,late_completion_rate__confidence_interval_high,late_completion_rate__confidence_interval_low,late_completion_rate__count,late_completion_rate__first_quartile,late_completion_rate__maximum,late_completion_rate__mean,late_completion_rate__median,late_completion_rate__minimum,late_completion_rate__sample_standard_deviation,late_completion_rate__third_quartile,late_mean_return__confidence_interval_high,late_mean_return__confidence_interval_low,late_mean_return__count,late_mean_return__first_quartile,late_mean_return__maximum,late_mean_return__mean,late_mean_return__median,late_mean_return__minimum,late_mean_return__sample_standard_deviation,late_mean_return__third_quartile,progress_auc__confidence_interval_high,progress_auc__confidence_interval_low,progress_auc__count,progress_auc__first_quartile,progress_auc__maximum,progress_auc__mean,progress_auc__median,progress_auc__minimum,progress_auc__sample_standard_deviation,progress_auc__third_quartile,restricted_convergence_duration__confidence_interval_high,restricted_convergence_duration__confidence_interval_low,restricted_convergence_duration__count,restricted_convergence_duration__first_quartile,restricted_convergence_duration__maximum,restricted_convergence_duration__mean,restricted_convergence_duration__median,restricted_convergence_duration__minimum,restricted_convergence_duration__sample_standard_deviation,restricted_convergence_duration__third_quartile,restricted_convergence_interactions__confidence_interval_high,restricted_convergence_interactions__confidence_interval_low,restricted_convergence_interactions__count,restricted_convergence_interactions__first_quartile,restricted_convergence_interactions__maximum,restricted_convergence_interactions__mean,restricted_convergence_interactions__median,restricted_convergence_interactions__minimum,restricted_convergence_interactions__sample_standard_deviation,restricted_convergence_interactions__third_quartile,return_auc__confidence_interval_high,return_auc__confidence_interval_low,return_auc__count,return_auc__first_quartile,return_auc__maximum,return_auc__mean,return_auc__median,return_auc__minimum,return_auc__sample_standard_deviation,return_auc__third_quartile,root_count,training_duration__confidence_interval_high,training_duration__confidence_interval_low,training_duration__count,training_duration__first_quartile,training_duration__maximum,training_duration__mean,training_duration__median,training_duration__minimum,training_duration__sample_standard_deviation,training_duration__third_quartile,training_throughput__confidence_interval_high,training_throughput__confidence_interval_low,training_throughput__count,training_throughput__first_quartile,training_throughput__maximum,training_throughput__mean,training_throughput__median,training_throughput__minimum,training_throughput__sample_standard_deviation,training_throughput__third_quartile
large,a2c,0,6801.325117844426,6329.8802392869675,5,6319.346635894188,6901.967278961749,6565.602678565697,6444.724069049972,6282.991927798246,302.6843178345713,6878.983481124332,5,5,32.424,28.936,5,29.84,33.56,30.736,30.72,27.64,2.222899008052323,31.92,5,378.182560299999,353.385228620001,5,350.5282810000026,378.6214265999988,366.04909899999984,376.60977589999675,345.9559253000007,16.355410267567258,378.53008620000037,5,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002750271598218,1.0001259314406652,5,1.0001343460305532,1.0003294610051874,1.0002012103737465,1.000208869940073,1.0000809681399268,9.75410142630239e-05,1.0002524067529925,209.79064336367702,194.0582243216069,5,196.28363477437887,215.63661191348484,201.6665961312695,201.6678413867616,188.98514627817042,10.02136048879225,205.75974630355176,0.875,0.7,5,0.75,0.875,0.8,0.875,0.625,0.11180339887498948,0.875,182.42086041617503,146.88799777075673,5,162.03748296680834,195.6807134301371,164.6704571814808,162.53108089523198,134.64974863587432,21.729576706096093,168.45325997935225,0.8160630827623561,0.6117429552399161,5,0.6023995784904899,0.8530030834328979,0.7139030190011361,0.7554201530099042,0.549247733104348,0.1320464542565771,0.8094445469680401,180.28515970039297,91.70499053990207,5,92.80726919964582,195.29241970064686,135.99507512014753,125.33953610072058,73.78543909974906,56.09399085684137,192.7507114999753,990000.0,530000.0,5,550000.0,1050000.0,760000.0,750000.0,400000.0,292403.83034426894,1050000.0,146.58683454144574,98.44614986995478,5,100.49200356323156,163.202775645461,122.07119020759315,116.40791702000749,87.41941260165166,30.90863426854883,142.83384220761408,5,357.45129143997985,334.7052984801943,5,331.9151198993277,359.9693287993032,346.0782949600871,350.8554908006008,329.4203809008577,14.504792676921886,358.231154400346,5978.83318959542,5595.677017714943,5,5582.987340528382,6071.26976943761,5787.255103655182,5700.3525737513555,5556.028916883297,245.06791805568255,6025.636917675262
medium,a2c,0,6685.962638966112,6471.239403203294,5,6462.29666391304,6702.203602211706,6581.285111806818,6653.234768108725,6402.604913651407,138.6236298139698,6686.085611149212,5,5,25.256,24.439999999999998,5,24.88,25.48,24.895999999999997,24.88,24.04,0.5400740689942449,25.2,5,352.1900135000011,339.9437551399991,5,339.35589679999975,354.6639060000016,346.0668843200001,342.81982049999715,339.0935807999995,7.867299890186765,354.40121750000253,5,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002826300377148,1.0000900364493392,5,1.0001230905443204,1.0003671114408546,1.000178052830917,1.000183828296465,1.0000275085512553,0.00012407139994767167,1.0001887253216901,229.9996815785252,226.3651198649245,5,226.61302449117997,231.7760769546337,227.97534012070736,228.05694526027563,225.3735013599026,2.402312529771985,228.05715253754505,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,230.11907666452848,226.25651179172186,5,227.58095609911896,231.15189760234028,228.2222348791625,227.90387212113944,224.61357714313826,2.490133399677785,229.86087143007552,0.8460998979233322,0.7532825673788104,5,0.776551945175351,0.8621089503009252,0.8017532541342295,0.8070868224255509,0.7134211694746904,0.05999579330907828,0.8495973832946297,160.86109755970173,90.77253409996847,5,97.89324849976038,187.15824449948195,126.63418288002212,136.50580910047574,66.6761065000901,46.142807948013015,144.93750580030246,980000.0,550000.0,5,600000.0,1150000.0,760000.0,800000.0,400000.0,281513.7652051849,850000.0,175.9861755368506,140.43170763612744,5,157.33866402902112,185.9622000781584,160.3180177979569,164.70265893924187,124.25107343405112,22.736892034519173,169.33549250931208,5,334.51546607956914,324.116970159913,5,324.03517969945096,337.879571399415,329.18322385996214,325.6813720009268,323.41655969986823,6.715039721260498,334.90343650014984,6170.652119264196,5980.369266311474,5,5971.870640984316,6183.97524807019,6077.651087557824,6140.971427725098,5919.268784781769,123.0065533103068,6172.16933622775
small,a2c,0,6666.536173729461,6575.170449267864,5,6612.87079084223,6674.982987931532,6625.6981791543785,6638.107501356533,6530.225919927744,59.23375726779695,6672.303695713852,5,5,25.424,24.44,5,24.36,25.88,24.912,24.92,24.28,0.6489375933015434,25.12,5,344.6937347799998,339.82068556000087,5,339.72363810000024,347.11777749999965,341.97430748000045,341.6206854000011,339.01773310000135,3.184391480926305,342.3917032999998,5,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0003241044658842,1.0001337499745766,5,1.0001344992591328,1.000419832321585,1.000219610532366,1.0002146201395077,1.0001025748360723,0.00012359487963651332,1.0002265261055328,229.96722404116244,225.52897337671214,5,226.8564351242876,230.6217231726015,227.84099191450633,227.89964910352285,223.4806397935767,2.915285684240034,230.34651237854317,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,230.89913255851008,227.26348643516434,5,227.58057206360462,232.7484401243563,228.79259658339257,228.12517120974073,226.614030296478,2.362189053678112,228.89476922278317,0.7908304337461345,0.7552813598007404,5,0.7683974708443413,0.8015606303979266,0.774522195923945,0.7810728066925511,0.7380870618728667,0.023555754035273335,0.7834930098120398,148.5703582992901,117.68514367974566,5,119.47151369989297,163.3552404988659,131.2324106394961,120.54922899886878,114.46673100003682,20.097498801604072,138.31933899981595,910000.0,710000.0,5,700000.0,1000000.0,800000.0,750000.0,700000.0,127475.48783981962,850000.0,156.46528951831382,140.80559969922743,5,147.46811493599353,159.7173233839449,149.59499484676752,151.99418397991738,133.3465435121008,10.13682107237335,155.448808421881,5,328.4959516401861,323.8858474399789,5,323.6567003002747,330.83810430011727,325.91447206009144,325.4217848001772,323.34702589958397,3.01370450728908,326.30874500030404,6175.050831361479,6088.8620337423445,5,6129.164573870481,6185.305074125234,6136.995909489322,6145.870047477261,6045.252871433803,56.31972005188179,6179.386980539833
tiny,a2c,2,6875.510191390191,6533.076154285755,5,6564.570425814606,7056.098201989651,6680.088472088159,6570.5173816545375,6482.861269072515,227.91250052201127,6726.395081909485,3,5,26.016000000000002,25.546,3,25.58,26.12,25.76,25.64,25.52,0.3174901573277515,25.880000000000003,3,345.29388373999825,328.2475537200007,5,333.9806632,347.716866499999,337.7793584999992,343.66934729999775,319.84674630000154,11.22842019601742,343.6831691999978,3,1.0,0.2,5,0.0,1.0,0.6,1.0,0.0,0.5477225575051662,1.0,0.8,0.0,5,0.0,1.0,0.4,0.0,0.0,0.5477225575051662,1.0,1.0002767153954184,0.6425962325996044,5,0.5634822813707469,1.0003371996287036,0.822783673469751,1.0000442998504768,0.5497221475642238,0.24303804090553133,1.0003324389346038,224.38165921136311,73.3833408706777,5,36.594443977842005,225.19468547193028,148.8825000410204,222.4162926529329,35.65576187238578,102.93862226508162,224.55131623001108,0.675,0.175,5,0.25,0.75,0.45,0.625,0.0,0.31374750995027834,0.625,165.0090262233465,70.1445131081952,5,83.62778932351837,178.1556202325301,121.90797544982976,153.72036810508553,36.5293383147214,59.57764629261421,157.5067612732934,0.5514959203276281,0.494273763812952,5,0.49150809862529304,0.5773469871973652,0.5217202871378012,0.5232789950770185,0.4825368133685776,0.03772920152530911,0.5339305414207517,322.2803594801204,265.032362299689,5,274.7063762991311,328.6498054998301,296.07411795983717,313.2428012002092,243.34191419964918,36.008328259121264,320.42969260036625,1980000.0,1630000.0,5,1800000.0,2000000.0,1830000.0,1900000.0,1450000.0,228035.0850198276,2000000.0,64.34938557445165,42.70319755668872,5,41.21944600776296,73.68825731574853,53.443708340239276,54.619161152952756,38.22896730748245,14.390732840858178,59.4627099172497,5,330.28733801982963,314.01910609944537,5,320.4436771003675,332.324661899529,323.2538956997931,328.6634516998274,305.77573049911007,10.708165838275331,329.0619573001313,6376.3564046213605,6055.488029157272,5,6077.882768368259,6540.741466745742,6192.6868161509365,6085.25222277111,6018.211193139363,211.349060833973,6241.3464297302135
large,ppo,0,6815.431044200484,6461.071550830906,5,6492.835406273647,6932.0512053755465,6647.711110112368,6727.631793184465,6343.326637194746,230.70429235832734,6742.710508533433,5,5,27.383999999999997,25.512,5,25.76,27.96,26.448,26.400000000000002,24.84,1.2287880207749424,27.28,5,553.7682890999997,526.5114585600022,5,529.4982484000029,563.4633295999993,539.0588482800006,533.1981142000004,520.1813409000024,17.143443554368343,548.9532082999976,5,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0003773389182204,1.0002140992784132,5,1.000249550582794,1.0004169213214833,1.0003020624192103,1.0003288614089578,1.0001529835132277,0.00010305910077487392,1.0003619952695886,225.16901069532278,216.76730788813748,5,217.2164478191782,228.20775404248462,220.97481841833502,221.23963066952132,214.20491603050908,5.511952776128665,224.00534352998176,1.0,0.925,5,1.0,1.0,0.975,1.0,0.875,0.05590169943749474,1.0,222.91938178362744,204.02625242000363,5,214.91127295906693,226.21127589675183,215.10654943778917,219.9439080929194,193.41448197139312,12.773458957193785,221.05180826881474,0.9974596057522274,0.9748790191247039,5,0.9789492045106705,1.0002365012581118,0.9872573358126984,0.9945160012631825,0.966430459540661,0.014169426008191667,0.9961545124908653,27.476519000112603,15.252563879947411,5,13.01139180003156,31.21822370027803,21.373845500043537,24.860630400005903,12.736222999901656,8.17113102273325,25.042758600000525,100000.0,60000.0,5,50000.0,100000.0,80000.0,100000.0,50000.0,27386.127875258306,100000.0,221.8848818191995,204.17543658677914,5,201.96500397746,224.57982520733117,213.0301592029893,214.6488687640092,201.14915310748322,11.126725324024529,222.80794495866303,5,536.4953248193954,510.1404820596661,5,512.9648598991407,545.988111599403,522.256612819773,516.79263590134,503.99002729935455,16.57832296800611,531.5474293996267,3920.8988529421085,3730.1504281972493,5,3762.599326759917,3968.3324900634625,3832.588394730107,3870.024185835761,3663.083421617466,120.26623645578489,3898.9025493739287
medium,ppo,0,6831.214009697753,6558.222072894889,5,6592.641701365301,6954.844228285592,6680.154061536543,6603.154066374758,6501.336447684543,177.2916112288244,6748.793863972526,5,5,28.064,24.744000000000003,5,25.2,28.96,26.52,27.2,23.64,2.098761539575185,27.6,5,504.3579215999998,482.90815610000135,5,485.40856019999774,511.0938954999983,493.8532781599999,494.7788839999994,475.5735846000025,13.93555415268468,502.41146650000155,5,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001689475121387,1.0000666379090304,5,1.0000676683646237,1.0002112268217693,1.000111145962322,1.0000690389730043,1.0000644069214504,6.500694681531988e-05,1.0001433887307618,228.57739983788133,213.68531044358642,5,215.80863721577492,233.50449853055267,220.61336200564475,217.56833801346193,209.62046988646023,9.418108008096263,226.5648663819739,1.0,0.925,5,1.0,1.0,0.975,1.0,0.875,0.055901699437494734,1.0,219.74113814727826,210.52437030004438,5,213.6914777323812,222.03425856535614,215.3014404029629,215.02610243262436,206.58750524169398,5.892378182163651,219.1678580427588,0.9875416027975863,0.9443817841125253,5,0.9532774091091701,0.9903327645749309,0.9673124100586309,0.9765908167678166,0.9261352258061097,0.027539028242029903,0.9902258340351265,25.379246220103234,23.268118499842966,5,23.30718759983938,26.52207130023089,24.17499205994027,24.019346699849848,23.003525099797116,1.3857831064256434,24.022829599984107,100000.0,100000.0,5,100000.0,100000.0,100000.0,100000.0,100000.0,0.0,100000.0,216.13788320266198,194.00929801533934,5,197.2400814794834,221.6461073753708,204.81844665763066,197.8237369334401,188.87129509214492,14.416360046864725,218.51101240771416,5,487.09021990054316,466.3083178600544,5,468.93794500104923,493.7438698014121,477.03690064059265,478.47053050119575,459.28574319995823,13.42862049014541,484.74641469934795,4290.917599468228,4106.617862123144,5,4125.868576543162,4354.587595220138,4195.216352281515,4179.985751484023,4050.683203022686,118.52617491911641,4264.956635137566
small,ppo,0,7224.049168579833,6927.043516288306,5,7081.431458362643,7237.322501623658,7101.860695004414,7191.189109449537,6772.154540485077,194.39931866142504,7227.205865101157,4,5,28.98,25.339999999999996,4,25.83,29.36,27.16,27.46,24.36,2.27003671042269,28.79,5,478.16301839999943,462.45581241999827,5,462.0176451999978,485.9783521999998,469.14609037999907,464.8544191000001,461.6946762999978,10.15185204458921,471.1853590999999,4,1.0,0.4,5,1.0,1.0,0.8,1.0,0.0,0.44721359549995804,1.0,0.6,0.0,5,0.0,1.0,0.2,0.0,0.0,0.44721359549995804,0.0,1.0003151477824839,0.9520849095338413,5,1.0000346851509092,1.0003830494337622,0.984187549688787,1.0002258456172761,0.9200022710281784,0.035880889260791735,1.0002918972138093,223.3274135846362,124.72129217558572,5,207.83169676966205,230.25019651247203,187.14695263313226,211.3301366123202,64.72601541852977,69.00044719505485,221.59671785267724,1.0,0.775,5,1.0,1.0,0.925,1.0,0.625,0.16770509831248423,1.0,224.51550892326932,187.05668519905646,5,208.76273353524363,229.8602525968937,207.8398478098481,208.91331990347595,167.4288797232056,24.437259474121646,224.2340532904219,0.9970660989124301,0.9901068544379246,5,0.9901680829872699,1.0002052748028603,0.9935738032990958,0.9943425375270314,0.9886065340120174,0.00452179085328672,0.9945465871663005,23.27207658005282,15.760911239917913,5,22.323599199738965,23.898067100122717,20.516371579976113,22.34258240015697,11.231673899994348,5.229567685470407,22.78593529986756,100000.0,70000.0,5,100000.0,100000.0,90000.0,100000.0,50000.0,22360.679774997898,100000.0,220.52176569589065,207.50972519874935,5,208.29276937009323,223.81200479590504,214.3162183510652,217.09413862834353,203.4368388313346,8.275844459548978,218.94534012964976,5,461.4454032996473,445.8683329993066,5,445.4140205995427,469.13033289956,452.4975980997493,448.10761920008736,445.2030022986801,10.048233516889393,454.63301550087635,4485.657550514338,4336.22161145151,5,4399.152573194819,4492.33268795036,4421.622165111828,4463.213554748703,4263.207598704125,96.2203247614778,4490.204410961134
tiny,ppo,0,6891.8222451482,6717.522597954665,5,6746.307410299809,6922.926819654108,6804.672421551433,6785.20112677168,6654.898521201017,114.19350086583766,6914.028229830553,5,5,28.360000000000003,27.008,5,26.88,29.080000000000002,27.615999999999996,27.6,26.84,0.9071273339504227,27.68,5,486.7623535600011,471.7571358399997,5,471.4599245999998,493.335094500002,479.32307140000046,481.1473799000014,468.3263982999997,9.89396623231837,482.3465596999995,5,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001964190780623,1.0001275859870093,5,1.0001166509071924,1.000204405247809,1.000162002532536,1.0001802381954359,1.0001121949626126,4.4327701326800126e-05,1.000196523349629,218.43818521876037,212.32935096765317,5,215.4551443575469,219.16910714194444,215.7027805867262,215.8123160058939,209.05713752623643,4.100566144712311,219.02019790200956,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,218.26265107117496,213.5523017901209,5,215.55952421740108,219.14994308583232,216.1351914687094,216.3632272085946,211.2993609507422,3.064338511270393,218.30390188097687,0.990059102186776,0.9737951307486616,5,0.9833217287150237,0.9942972538533522,0.9828868086590005,0.9840820206587994,0.9664604424802287,0.010162492548841185,0.9862725975875979,38.66972969993003,23.01037638027774,5,23.024625500245747,44.97439149974889,29.89214990014516,23.119137100249645,22.94174690032378,9.98955038484323,35.400848500157736,170000.0,100000.0,5,100000.0,200000.0,130000.0,100000.0,100000.0,44721.359549995796,150000.0,212.6891308252519,203.19938008001478,5,204.65259270351527,214.2323632602103,208.1047440337894,209.29552865663317,199.50053607398522,6.069671543498242,212.84269947460288,5,469.86400806124146,455.8146604201109,5,455.66068620078295,475.8667898014355,462.9271082405583,464.59787009990396,452.4512103995512,9.254468908142533,466.0589847011179,4388.32632904463,4257.820772430145,5,4291.302315054807,4420.366116898742,4321.710861204245,4304.798038720956,4202.856855874599,86.0651260285304,4389.230979472118
large,reinforce,1,6638.841058501761,5094.260269753212,5,5977.977522364946,6743.746290809498,6012.481022377099,6474.9315294712105,4249.859178530539,1027.2218269926047,6615.890590709301,4,5,33.879999999999995,28.12,4,30.200000000000003,34.76,31.080000000000005,31.240000000000002,27.080000000000002,3.1407854643915623,32.120000000000005,4,501.15648126000013,347.6183336799997,5,349.3421137000005,593.8742151000006,404.78648983999994,356.55635939999956,341.425540799999,106.8355098168904,382.7342202,4,1.0,0.4,5,1.0,1.0,0.8,1.0,0.0,0.4472135954999579,1.0,0.6,0.0,5,0.0,1.0,0.2,0.0,0.0,0.44721359549995804,0.0,1.0002678826129985,0.40733126091956484,5,1.0000291946292632,1.0003367254282207,0.8025786213328091,1.000147376181931,0.012120517411320659,0.44187952869938174,1.0002592930133103,207.43192115428124,76.62853178253388,5,183.6151693039415,218.03969128829357,159.05501637157795,199.42536260258385,-5.2360220974994025,92.64706361821345,199.43088076057032,1.0,0.375,5,0.875,1.0,0.775,1.0,0.0,0.4366062299143246,1.0,200.35536268212223,73.29310132055579,5,183.2412358274558,206.53441350511133,153.55546518646423,184.30536162943196,-5.2360220974994025,89.31316673696965,198.9323370678214,0.9391253082728861,0.37537175692579483,5,0.9128098187948336,0.9533626466427139,0.7455477370137771,0.9177693007181446,0.010126023460473362,0.41141807421931376,0.9336708954527204,333.24003525964326,52.034408860093755,5,62.19335389992739,513.922052099535,149.56639777994897,62.21700999980567,44.22773070009316,203.85093454507194,65.27184220038362,1330000.0,260000.0,5,300000.0,2000000.0,640000.0,350000.0,200000.0,762725.3765281446,350000.0,181.4983675881258,61.67125683200622,5,165.3467860820362,187.35164072491156,138.42654078499623,171.70435796946302,-12.360210535287742,84.70282926385165,180.0901296838581,5,445.362465219777,327.6885208201187,5,329.0423306999219,513.922052099535,372.78282925999775,335.9035937002518,322.227174500249,80.38771931842648,362.818995300031,6104.836447438767,4678.822790807034,5,5512.3905470994205,6206.801158536226,5528.633415092025,5954.0893205945495,3891.6407494665077,951.7098110269187,6078.245299763417
medium,reinforce,0,7042.925165791959,6735.565768358359,5,6750.000252794429,7146.94537174266,6898.620344369777,6969.952308731771,6650.8124002086715,197.57534661857127,6975.391388371352,5,5,31.631999999999998,28.048000000000002,5,28.64,32.64,29.919999999999998,30.240000000000002,26.76,2.295909405878202,31.32,5,329.8570961199992,317.3088082800001,5,319.16507640000054,333.67075399999885,323.2815335399995,320.7135015999993,313.7501935,8.004244508878637,329.10814219999884,5,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001766638220144,1.0000243228542263,5,1.0000279257667946,1.0002647756386247,1.0000840766795236,1.0000386897980011,1.0000135364697702,0.00010357998104567402,1.0000754557244271,213.73257752529017,197.59599126117564,5,199.00524551346655,219.5099031278888,205.31470524430762,203.8914244227842,193.03902042808045,10.341961913073835,211.12793272931796,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,213.29011392240074,196.33768937743315,5,200.47958826206926,219.57193201988457,204.37485252847597,204.03842835332503,190.5291287168203,10.562171588815637,207.25518529028068,0.9240313469975572,0.8719646015034858,5,0.8817463613893158,0.9346888971469886,0.8980086427145594,0.8959841391437776,0.8502264151176991,0.03449942698180432,0.9273974007750155,109.39958646020531,54.18765237996886,5,56.525117900016994,128.68484930046725,79.54613769998832,58.31688349988872,49.78557129996079,34.998484494880174,104.41826649960785,630000.0,280000.0,5,300000.0,750000.0,440000.0,300000.0,250000.0,221923.41021172146,600000.0,180.00371229678933,152.66684406469454,5,159.8372126378166,187.61338455128686,167.79521635490227,174.4365943794198,141.91129120501142,17.497676064152735,175.17759900097658,5,312.167694859991,299.0087433597928,5,301.65747570010535,315.90989350005293,305.1679526598149,301.91338659969733,294.90768939952795,8.412173101537405,311.451318099691,6689.611049929119,6408.868615279067,5,6421.549320140714,6781.783154153326,6557.740865970967,6624.416434544426,6330.91916761912,180.18283865323315,6630.036253397255
