actor_name,algorithm,braking_fraction,circuit_identity,circuit_seed,circuit_split,coverage,mean_absolute_steering,mean_speed,mean_steering_change,mean_throttle,near_saturated_steering_fraction,near_zero_throttle_fraction,observation_type,outcome,positive_throttle_fraction,root_identity,run_id,sample_count,simulated_time,speed_median,speed_q10,speed_q90,speed_standard_deviation,steering_reversals,steering_reversals_per_time,throttle_median,throttle_q10,throttle_q90,throttle_standard_deviation,training_interactions
large,a2c,0.43029490616621985,0,0,development,1.0,0.40506356096362706,17.597320423195146,0.25990124228347916,0.24804178794287896,0.12198391420911528,0.064343163538874,frenet,completed,0.5697050938337802,0,a2c-large-frenet-seed-0,746,29.84,18.46720759398857,14.933202729595493,19.79097376592267,3.033637523700856,281,9.416890080428955,0.1637842208147049,-0.3094809353351593,0.7810563743114471,0.47941221814005175,2000000
large,a2c,0.2744360902255639,0,0,development,1.0,0.6057793174074954,17.378612078132388,1.026159634219466,0.1670657710384789,0.11403508771929824,0.13784461152882205,frenet,completed,0.7255639097744361,1,a2c-large-frenet-seed-1,798,31.92,17.865666425810222,16.677200197734383,18.645608787567898,2.740997762569942,610,19.110275689223055,0.13290727138519287,-0.127398581802845,0.48784330189228087,0.28381459768260164,2000000
large,a2c,0.34765625,0,0,development,1.0,0.7515741370971227,17.670977315498387,0.8369884718102651,0.206525966024401,0.5065104166666666,0.12760416666666666,frenet,completed,0.65234375,2,a2c-large-frenet-seed-2,768,30.72,18.101986347394316,15.632225801249495,19.955927140590116,2.9979281617041442,408,13.28125,0.13437583297491074,-0.2630252748727798,0.9394591033458713,0.3999463892977096,2000000
large,a2c,0.30390738060781475,0,0,development,1.0,0.42974145119104573,18.464927307429644,0.5257119311460976,0.19928063495474155,0.08393632416787265,0.11432706222865413,frenet,completed,0.6960926193921853,3,a2c-large-frenet-seed-3,691,27.64,19.310243923376714,17.062290840688767,20.1986609404241,3.1368112861888524,397,14.363241678726483,0.17556463181972504,-0.1680745929479599,0.6212868094444275,0.3245734179371162,2000000
large,a2c,0.3742550655542312,0,0,development,1.0,0.6018639850764312,15.09880173798077,1.0643415495637707,0.204723625250174,0.133492252681764,0.04529201430274136,frenet,completed,0.6257449344457687,4,a2c-large-frenet-seed-4,839,33.56,15.675195695652912,13.120930788291957,17.158270053619354,2.40034727291402,647,19.278903456495826,0.27409568428993225,-0.3130253076553345,0.6785030364990234,0.40417869743908713,2000000
medium,a2c,0.23793677204658903,0,0,development,1.0,0.3778445344424486,21.146409106404835,0.31827387573507926,0.24110319678263525,0.04492512479201331,0.13477537437603992,frenet,completed,0.762063227953411,0,a2c-medium-frenet-seed-0,601,24.04,21.96884523513776,19.448078012646743,24.295430794996783,4.348150781589597,266,11.064891846921798,0.1978253871202469,-0.15559113025665283,0.8009982705116272,0.3318613925117557,2000000
medium,a2c,0.2746031746031746,0,0,development,1.0,0.6306533511005534,19.897991762261043,0.16074184296928073,0.24741123633483234,0.31746031746031744,0.09841269841269841,frenet,completed,0.7253968253968254,1,a2c-medium-frenet-seed-1,630,25.2,21.113159818472404,15.260493201687211,23.49015361289417,4.3221466268643285,72,2.857142857142857,0.26909638941287994,-0.2825402647256851,0.7899511754512788,0.38069672579547276,2000000
medium,a2c,0.30064308681672025,0,0,development,1.0,0.3533744887918439,20.14550992100871,0.34060798405655385,0.2438122717673191,0.008038585209003215,0.07717041800643087,frenet,completed,0.6993569131832797,2,a2c-medium-frenet-seed-2,622,24.88,20.737091477894555,17.445492019814786,24.231334704387557,4.219724824337694,265,10.65112540192926,0.21266184747219086,-0.19644815772771834,0.8517267644405363,0.3693685287659192,2000000
medium,a2c,0.2861736334405145,0,0,development,1.0,0.2764332741579895,20.566833710921358,0.10121493749446109,0.22066845735658552,0.00482315112540193,0.14308681672025725,frenet,completed,0.7138263665594855,3,a2c-medium-frenet-seed-3,622,24.88,21.497269698495646,18.245017202109178,23.915299109776353,4.187478382244042,102,4.09967845659164,0.17893086373806,-0.12442034035921097,0.7105946779251098,0.3131721508797312,2000000
medium,a2c,0.3029827315541601,0,0,development,1.0,0.31230977071046,19.52911404977145,0.21383939311622185,0.28630776834448296,0.03453689167974882,0.061224489795918366,frenet,completed,0.6970172684458399,4,a2c-medium-frenet-seed-4,637,25.48,20.22612262540327,14.924980844644052,24.14565813267341,4.61897702547161,188,7.378335949764521,0.26173487305641174,-0.3646702110767364,0.9613001108169555,0.4834797068231446,2000000
small,a2c,0.2643312101910828,0,0,development,1.0,0.37832092920542176,20.357023437937578,0.4407699832327343,0.27619371044730906,0.01751592356687898,0.0589171974522293,frenet,completed,0.7356687898089171,0,a2c-small-frenet-seed-0,628,25.12,21.291859033126006,15.364983708841399,24.97514867747635,4.745287091728271,346,13.773885350318471,0.3108936995267868,-0.3638276100158691,0.8035295367240908,0.42512843763834346,2000000
small,a2c,0.2233169129720854,0,0,development,1.0,0.4350275098899003,20.943755391366242,0.18847039957396,0.24509307503285827,0.2134646962233169,0.10837438423645321,frenet,completed,0.7766830870279147,1,a2c-small-frenet-seed-1,609,24.36,21.916054737316976,18.81982217441863,24.901921463204744,4.406412090686291,182,7.471264367816092,0.2110336273908615,-0.18222447037696837,0.8117986679077149,0.3451114794024348,2000000
small,a2c,0.19769357495881384,0,0,development,1.0,0.39757124622495493,20.880397194921045,0.06457087184166499,0.22109901957024775,0.20922570016474465,0.12520593080724876,frenet,completed,0.8023064250411862,2,a2c-small-frenet-seed-2,607,24.28,21.84827969059971,19.037734905570417,24.1500320382587,4.306965280744956,48,1.9769357495881383,0.16231106221675873,-0.1088848814368248,0.754180884361267,0.294468901912187,2000000
small,a2c,0.25193199381761977,0,0,development,1.0,0.34132276527618505,20.128756212451616,0.22427560431319044,0.20467112774811713,0.061823802163833076,0.16228748068006182,frenet,completed,0.7480680061823802,3,a2c-small-frenet-seed-3,647,25.88,20.989192872336723,18.577077260442234,22.730111296907438,3.871544156323137,240,9.273570324574962,0.1406494528055191,-0.09834422022104261,0.613818609714508,0.290322294741565,2000000
small,a2c,0.27768860353130015,0,0,development,1.0,0.32799508518679144,20.186997744451947,0.06538106447751664,0.25456583317306436,0.1348314606741573,0.0593900481540931,frenet,completed,0.7223113964686998,4,a2c-small-frenet-seed-4,623,24.92,20.901411472347608,16.638818848882334,25.14513635126311,4.572027262020058,35,1.4044943820224718,0.3070543110370636,-0.27915461659431456,0.8125112533569337,0.3646255557760197,2000000
tiny,a2c,0.2574102964118565,0,0,development,1.0,0.2637911379421217,19.56590137576668,0.03105671738048841,0.18737567428211782,0.062402496099843996,0.1856474258970359,frenet,completed,0.7425897035881436,0,a2c-tiny-frenet-seed-0,641,25.64,20.75748915587505,16.242315054000702,22.537988687825262,4.281776159991101,11,0.4290171606864274,0.16431570053100586,-0.06514684855937958,0.6219851970672607,0.23609220158448785,2000000
tiny,a2c,0.22817764165390506,0,0,development,1.0,0.29779756486865655,19.771670303073257,0.024704340252199673,0.2134604128810793,0.030627871362940276,0.06584992343032159,frenet,completed,0.7718223583460949,1,a2c-tiny-frenet-seed-1,653,26.12,20.621423558318874,15.10179507311545,24.06778293201502,4.598319691958788,7,0.2679938744257274,0.21464593708515167,-0.1854486972093582,0.5687404394149781,0.2677364164363246,2000000
tiny,a2c,0.23705722070844687,0,0,development,0.5634822813707469,0.300060415180046,19.537431591426238,0.028470835790974522,0.27897187720601035,0.04632152588555858,0.0653950953678474,frenet,crashed,0.7629427792915532,2,a2c-tiny-frenet-seed-2,367,14.68,21.117122867362962,9.802872324978122,24.50480336395659,5.878435046098,7,0.4768392370572207,0.3239127993583679,-0.18518859148025513,0.7158113718032837,0.30760173652771894,2000000
tiny,a2c,0.20391061452513967,0,0,development,0.5497221475642238,0.32925304336985184,19.9327029746695,0.03638697092268741,0.2912394966976977,0.0446927374301676,0.0670391061452514,frenet,crashed,0.7960893854748603,3,a2c-tiny-frenet-seed-3,358,14.32,22.05625090727821,9.086345859907286,25.0868222702094,6.266635553804643,11,0.7681564245810055,0.30605819821357727,-0.1388035774230957,0.644291216135025,0.27138857376918085,2000000
tiny,a2c,0.2993730407523511,0,0,development,1.0,0.27976111852116686,20.041073605139758,0.026224055936965023,0.20514742787022341,0.0,0.10658307210031348,frenet,completed,0.700626959247649,4,a2c-tiny-frenet-seed-4,638,25.52,21.025626502662142,15.01381682666769,24.41308662430188,4.749030282849982,7,0.274294670846395,0.23523222655057907,-0.10783600732684136,0.571083611249924,0.24482036150591757,2000000
large,ppo,0.36180124223602483,0,0,development,1.0,0.46261243709950184,19.587200338679175,0.7688297220964917,0.2808492435766051,0.07142857142857142,0.06832298136645963,frenet,completed,0.6381987577639752,0,ppo-large-frenet-seed-0,644,25.76,20.527024432785495,17.601456159636054,22.239093023117547,3.6747568360041605,359,13.936335403726707,0.2514345496892929,-0.36292467117309574,0.940201908349991,0.5016269743761577,2000000
large,ppo,0.2873900293255132,0,0,development,1.0,0.4779081923168158,18.803079206374424,0.7694030984102443,0.2627176822721685,0.06744868035190615,0.093841642228739,frenet,completed,0.7126099706744868,1,ppo-large-frenet-seed-1,682,27.28,19.50751624681651,15.055343937015255,23.266121033423175,4.0628697937590825,448,16.422287390029325,0.23625703155994415,-0.37804373204708097,0.9296130120754241,0.4718030254290817,2000000
large,ppo,0.2576489533011272,0,0,development,1.0,0.5084867618413569,20.268887368248098,0.3745709039899896,0.2908034058693225,0.178743961352657,0.037037037037037035,frenet,completed,0.7423510466988728,2,ppo-large-frenet-seed-2,621,24.84,21.325662230394798,17.999127645391326,23.080932465431616,4.002986718659154,212,8.53462157809984,0.3629070222377777,-0.4070342779159546,0.8889590501785278,0.4640901403498372,2000000
large,ppo,0.29848484848484846,0,0,development,1.0,0.35775345000755887,19.19346309845529,0.4224522343429713,0.24522381672868504,0.007575757575757576,0.07272727272727272,frenet,completed,0.7015151515151515,3,ppo-large-frenet-seed-3,660,26.400000000000002,19.96690710955715,15.661849903297234,23.523654003030234,4.0824926939553405,332,12.575757575757574,0.23786794394254684,-0.27125048041343686,0.7829035282135011,0.39126652022701763,2000000
large,ppo,0.30042918454935624,0,0,development,1.0,0.31422654686706175,18.601263886617694,0.1954818882673904,0.2555598956715144,0.008583690987124463,0.06151645207439199,frenet,completed,0.6995708154506438,4,ppo-large-frenet-seed-4,699,27.96,19.259702579466264,15.924688367023775,21.620406683953423,3.5222222097566402,120,4.291845493562231,0.24762944877147675,-0.35309619903564454,0.9231404423713684,0.45002870056855654,2000000
medium,ppo,0.272419627749577,0,0,development,1.0,0.4102915363945599,21.109069870857827,0.09887722459319837,0.3016753839709057,0.24196277495769883,0.06091370558375635,frenet,completed,0.727580372250423,0,ppo-medium-frenet-seed-0,591,23.64,22.551347655790643,18.208055096345724,23.932090697732654,4.285264381928958,93,3.9340101522842637,0.3463810682296753,-0.4058689773082733,0.9675959348678589,0.471969227636731,2000000
medium,ppo,0.3333333333333333,0,0,development,1.0,0.6248959179164545,18.63391781463337,1.19334935196182,0.21308733096710689,0.23478260869565218,0.0927536231884058,frenet,completed,0.6666666666666666,1,ppo-medium-frenet-seed-1,690,27.6,19.533692874497138,16.697040814664298,21.084191617466285,3.4644950639173655,574,20.79710144927536,0.1625034362077713,-0.18267960250377654,0.8080556333065033,0.35881769656793,2000000
