actor_name,algorithm,braking_fraction,circuit_identity,circuit_seed,circuit_split,curvature_bin,lower_curvature,mean_absolute_steering,mean_speed,mean_throttle,observation_type,outcome,root_identity,run_id,sample_count,training_interactions,upper_curvature
large,a2c,0.34234234234234234,0,0,development,straight,0.0,0.2669476719923435,16.708377588052702,0.37277942245921214,frenet,completed,0,a2c-large-frenet-seed-0,333,2000000,1e-08
large,a2c,0.4583333333333333,0,0,development,curve_1,0.0,0.4309205883240793,18.1340040020658,0.21872170828282833,frenet,completed,0,a2c-large-frenet-seed-0,240,2000000,0.05485719880639534
large,a2c,0.5606936416184971,0,0,development,curve_2,0.05485719880639534,0.6350456676741987,18.56387478835975,0.0486151221883887,frenet,completed,0,a2c-large-frenet-seed-0,173,2000000,0.08331733356806285
large,a2c,0.25308641975308643,0,0,development,straight,0.0,0.5876220534498124,16.775783120185164,0.2183669962586812,frenet,completed,1,a2c-large-frenet-seed-1,324,2000000,1e-08
large,a2c,0.25925925925925924,0,0,development,curve_1,0.0,0.6173775872156223,18.109515922478533,0.1546536462895051,frenet,completed,1,a2c-large-frenet-seed-1,243,2000000,0.05485719880639534
large,a2c,0.3203463203463203,0,0,development,curve_2,0.05485719880639534,0.6190458713421897,17.455265533538384,0.1081677162447779,frenet,completed,1,a2c-large-frenet-seed-1,231,2000000,0.08331733356806285
large,a2c,0.24528301886792453,0,0,development,straight,0.0,0.6379768507549269,17.362203471980852,0.34507087042332635,frenet,completed,2,a2c-large-frenet-seed-2,318,2000000,1e-08
large,a2c,0.30327868852459017,0,0,development,curve_1,0.0,0.7721668905750314,18.219959258735035,0.23409274542851174,frenet,completed,2,a2c-large-frenet-seed-2,244,2000000,0.05485719880639534
large,a2c,0.558252427184466,0,0,development,curve_2,0.05485719880639534,0.9025416381078438,17.49737774311409,-0.03999623675939166,frenet,completed,2,a2c-large-frenet-seed-2,206,2000000,0.08331733356806285
large,a2c,0.1794871794871795,0,0,development,straight,0.0,0.3528942496363575,17.722708267717145,0.3187638468016536,frenet,completed,3,a2c-large-frenet-seed-3,312,2000000,1e-08
