actor_name,algorithm,contrast,end_to_end_duration,final_completion_rate,final_crash_rate,final_mean_progress,final_mean_return,late_completion_rate,late_mean_return,progress_auc,restricted_convergence_duration,restricted_convergence_interactions,return_auc,root_identity,training_duration
,a2c,medium_minus_large,-21.94586989999516,0.0,0.0,-0.00030195245393205283,26.016330651081944,0.25,62.69863762298803,-0.045916261007347026,71.1520667005534,450000.0,1.4998832937808686,0,-20.351583000930987
,a2c,medium_minus_large,-35.80160610000166,0.0,0.0,4.9482265911837686e-05,12.420540624060209,0.125,32.22315869100234,0.3128612171965771,-128.61631320055676,-650000.0,85.47019651492683,3,-25.174118799674034
,a2c,medium_minus_large,-39.174189400000614,0.0,0.0,-8.577939575271643e-05,30.329389716801103,0.125,65.04987520388698,0.1110215909842005,-5.592467000493343,100000.0,36.831660832399464,1,-35.93414909985222
,a2c,medium_minus_large,-6.8623445000012,0.0,0.0,0.00010775718176336824,26.389103873514017,0.375,95.2111227942012,0.040152836326589614,-27.446287600960204,-150000.0,26.501650301697993,2,-6.003821200989478
,a2c,medium_minus_large,3.8729364999999234,0.0,0.0,0.0001147046878620106,36.388355081732186,0.125,62.57609417632992,0.021131792165446805,43.69853990082993,250000.0,40.93074700901363,4,2.988316600822145
,a2c,small_minus_large,-29.4919983999971,0.0,0.0,-0.00011484086567969953,21.096688820735835,0.25,59.671911230388474,-0.0514424530349713,45.68607460014391,300000.0,-3.485452261516116,0,-27.39305010022872
,a2c,small_minus_large,-36.909400799999275,0.0,0.0,-7.437068094029442e-05,34.0628776041643,0.125,70.21735922912433,0.16599789235385143,-54.43137250015934,-200000.0,64.57477137826572,1,-34.54754399912599
,a2c,small_minus_large,-38.89778849999857,0.0,0.0,9.218007497957537e-05,7.844027880091858,0.125,31.899858633467517,0.2342452767076918,-80.82568870061004,-350000.0,54.95680485864945,3,-27.50846490101685
,a2c,small_minus_large,-6.938192199999321,0.0,0.0,2.1606696145592963e-05,28.953881785839883,0.375,94.24502058690885,-0.028371740275489055,-4.790307101851795,0.0,4.634272728379443,2,-5.7636806005830294
,a2c,small_minus_large,-8.136577700002817,0.0,0.0,0.00016742556859239421,38.91450282535243,0.125,64.57654732966967,-0.017333091137037515,70.54797129922008,450000.0,16.938626492093306,4,-5.606374899023649
,a2c,small_minus_medium,-0.07584769999812124,0.0,0.0,-8.615048561777527e-05,2.564777912325866,0.0,-0.9661022072923515,-0.06852457660207867,22.65598049910841,150000.0,-21.86737757331855,2,0.24014060040644836
,a2c,small_minus_medium,-12.00951420000274,0.0,0.0,5.272088073038361e-05,2.5261477436202426,0.0,2.0004531533397483,-0.03846488330248432,26.849431398390152,200000.0,-23.992120516920323,4,-8.594691499845794
,a2c,small_minus_medium,-3.0961823999969056,0.0,0.0,4.269780906773768e-05,-4.576512743968351,0.0,-0.3233000575348228,-0.07861594048888532,47.790624499946716,300000.0,-30.513391656277378,3,-2.334346101342817
,a2c,small_minus_medium,-7.546128500001942,0.0,0.0,0.0001871115882523533,-4.919641830346109,0.0,-3.0267263925995564,-0.005526192027624277,-25.465992100409494,-150000.0,-4.9853355552969845,0,-7.0414670992977335
,a2c,small_minus_medium,2.2647886000013386,0.0,0.0,1.1408714812422005e-05,3.7334878873631965,0.0,5.167484025237343,0.054976301369650926,-48.838905499666,-300000.0,27.74311054586626,1,1.3866051007262286
,a2c,tiny_minus_large,-11.975262100000691,-1.0,1.0,-0.4365986867691799,-165.07339740891962,-0.625,-98.12041032115292,-0.3179364483427471,195.09015649964567,1250000.0,-104.60487490013163,2,-8.976703800490213
,a2c,tiny_minus_large,-30.813219700001355,0.0,0.0,0.00012356899453069836,26.132657878554028,-0.125,15.624539337298131,-0.02505259129312465,50.591202699673886,400000.0,-13.731155285903128,1,-27.644666899774165
,a2c,tiny_minus_large,-34.95207930000106,-1.0,1.0,-0.4504121984663294,-179.98085004109907,-0.625,-112.05292410661873,-0.06671091973577042,133.35738579918325,950000.0,-59.2725575554686,3,-22.1920391007734
,a2c,tiny_minus_large,-56.76302959999521,0.0,0.0,-0.0002851611547105559,18.791569926459317,-0.125,-14.732891874266727,-0.3190725420121462,200.92093719938202,1400000.0,-103.7400657282113,0,-52.45542390123592
,a2c,tiny_minus_large,-6.8451118000048154,0.0,0.0,8.479287571105942e-05,36.209539193759866,-0.25,-4.530721693514948,-0.2321411579328857,220.4355320005634,1350000.0,-61.78875586705473,4,-2.8531625991963665
,a2c,tiny_minus_medium,-10.718048300004739,0.0,0.0,-2.9911812150951178e-05,-0.17881588797231984,-0.375,-67.10681586984487,-0.2532729500983325,176.73699209973347,1100000.0,-102.71950287606836,4,-5.841479200018512
,a2c,tiny_minus_medium,-34.81715970000005,0.0,0.0,1.6791299221496914e-05,-7.224760724622627,-0.375,-77.43152949725476,-0.27315628100479916,129.76887049882862,950000.0,-105.23994902199217,0,-32.10384090030493
,a2c,tiny_minus_medium,-5.112917599999491,-1.0,1.0,-0.43670644395094327,-191.4625012824336,-1.0,-193.33153311535412,-0.3580892846693367,222.53644410060588,1400000.0,-131.10652520182964,2,-2.9728825995007355
,a2c,tiny_minus_medium,0.8495268000006035,-1.0,1.0,-0.45046168073224124,-192.40139066515928,-0.75,-144.2760827976211,-0.37957213693234754,261.97369899974,1600000.0,-144.74275407039542,3,2.982079698900634
,a2c,tiny_minus_medium,8.36096969999926,0.0,0.0,0.0002093483902834148,-4.196731838247075,-0.25,-49.42533586658885,-0.13607418227732515,56.18366970016723,300000.0,-50.56281611830259,1,8.289482200078055
,a2c,tiny_minus_small,-27.271031199998106,0.0,0.0,-0.0001703202890308564,-2.305118894276518,-0.375,-74.4048031046552,-0.2676300889771749,155.2348625992381,1100000.0,-100.25461346669519,0,-25.062373801007197
,a2c,tiny_minus_small,-5.03706990000137,-1.0,1.0,-0.4366202934653255,-194.0272791947595,-1.0,-192.36543090806177,-0.28956470806725804,199.88046360149747,1250000.0,-109.23914762851108,2,-3.213023199907184
,a2c,tiny_minus_small,1.291465899998002,0.0,0.0,-8.263269288133479e-05,-2.7049636315925625,-0.375,-69.10726902318461,-0.21480806679584818,149.88756070134332,900000.0,-78.72738235914804,4,2.7532122998272825
,a2c,tiny_minus_small,3.945709199997509,-1.0,1.0,-0.450504378541309,-187.82487792119093,-0.75,-143.95278274008626,-0.3009561964434622,214.1830744997933,1300000.0,-114.22936241411804,3,5.316425800243451
,a2c,tiny_minus_small,6.096181099997921,0.0,0.0,0.00019793967547099278,-7.9302197256102716,-0.25,-54.592819891826196,-0.19105048364697608,105.02257519983323,600000.0,-78.30592666416885,1,6.9028770993518265
large,,a2c_minus_ppo,-143.57156500000565,0.0,0.0,-3.253426440119611e-05,-18.245597226429993,-0.25,-51.49064811356715,-0.14723341782521393,61.0492160998474,350000.0,-61.377049561870166,0,-145.75887289900857
large,,a2c_minus_ppo,-154.66802800000005,0.0,0.0,5.588642684539735e-05,-20.93281304479933,-0.125,-52.380192063834954,-0.39211642277269265,167.8900810999694,950000.0,-135.38853235701137,1,-156.82330710203678
large,,a2c_minus_ppo,-170.33178169999883,0.0,0.0,-0.00028257529093012046,-5.603018756036477,-0.125,-25.371094838677635,-0.44690677938651724,164.07419600036883,950000.0,-114.15686520077763,3,-180.6919385990259
large,,a2c_minus_ppo,-178.96996740000031,0.0,0.0,2.8561701985729826e-06,-25.219769752338664,0.0,-31.376999004584775,-0.2235290515007663,79.79587739961426,500000.0,-84.74123608747573,4,-181.04973999981303
large,,a2c_minus_ppo,-217.5074042999986,0.0,0.0,-0.0002478932690310742,-26.539912655723015,-0.375,-91.56152726087751,-0.15698591257262084,100.29677750072005,650000.0,-59.1311617698459,2,-216.56773069854535
large,,reinforce_minus_a2c,-29.27931289999833,0.0,0.0,0.00012494698275711258,-32.02144260954333,0.125,-11.375351800705147,0.3685215676137965,-130.02057750026324,-750000.0,64.85478251880464,3,-21.813160100678942
large,,reinforce_minus_a2c,-35.18423509999775,0.0,0.0,7.264423033337408e-06,-6.334383700967919,0.25,38.08115352575908,0.10035956320981598,-11.592085199821668,-50000.0,24.14886507945056,0,-36.003979900096965
large,,reinforce_minus_a2c,247.9182897999999,-1.0,1.0,-0.987960450728606,-206.90386348426102,-0.625,-139.88577073337373,-0.7993185235075668,388.5825159988144,1250000.0,-155.19405274290182,2,184.5016711986773
large,,reinforce_minus_a2c,4.204133999999613,0.0,0.0,-6.149375814201719e-05,21.7560565139147,0.0,20.710154932223816,0.3104102403043437,-130.53370150016963,-700000.0,84.28494536781136,1,2.8496665007278352
large,,reinforce_minus_a2c,6.028078399996957,0.0,0.0,-0.00022321212372933275,10.4457344823999,0.125,36.89485410101307,0.17825074244281625,-48.579538499552655,-350000.0,63.682212663850606,4,3.988473800924112
large,,reinforce_minus_ppo,-150.46389400000044,0.0,0.0,-5.607331296619833e-06,0.8232434691153685,-0.125,-31.67003713161114,-0.08170618246834893,37.356379599799766,250000.0,-51.10358698920001,1,-153.97364060130894
large,,reinforce_minus_ppo,-172.94188900000336,0.0,0.0,-0.00022035595353075976,-14.774035269938764,0.125,5.517855096428292,-0.04527830905795005,31.2163389000616,150000.0,-21.05902342362512,4,-177.06126619888892
large,,reinforce_minus_ppo,-178.7558001000034,0.0,0.0,-2.5269841367858703e-05,-24.579980927397912,0.0,-13.40949458780807,-0.04687385461539795,49.45713090002573,300000.0,-37.22818448241961,0,-181.76285279910553
large,,reinforce_minus_ppo,-199.61109459999716,0.0,0.0,-0.00015762830817300788,-37.624461365579805,0.0,-36.74644663938278,-0.07838521177272073,34.053618500105586,200000.0,-49.30208268197299,3,-202.50509869970483
large,,reinforce_minus_ppo,30.410885500001314,-1.0,1.0,-0.9882083439976371,-233.44377613998404,-1.0,-231.44729799425124,-0.9563044360801877,488.87929349953447,1900000.0,-214.32521451274772,2,-32.06605949986806
medium,,a2c_minus_ppo,-136.48000380000303,0.0,0.0,0.0001243184002397424,10.4886072468137,0.0,10.69301338731671,-0.1269934334731868,74.586060899921,500000.0,-28.488244424128027,2,-135.86918350009
medium,,a2c_minus_ppo,-140.1149779999978,0.0,0.0,-0.00018371827051399947,-1.7284215759189578,0.125,24.56439236064631,-0.11904840338055889,120.91815910045261,750000.0,-24.168636152903048,0,-140.59095910178075
medium,,a2c_minus_ppo,-146.05266339999798,0.0,0.0,5.405157131610494e-05,10.804387275405048,0.0,13.889478366737762,-0.23985623963447977,163.13541489949785,1050000.0,-72.98900804543227,1,-144.90276530159827
medium,,a2c_minus_ppo,-156.6926779999958,0.0,0.0,0.0002994430762308653,-1.1913650220712952,0.0,2.579318577782118,-0.21367388885977556,109.98373780024485,700000.0,-64.30744334634969,4,-158.84043330126224
medium,,a2c_minus_ppo,-159.5916460000044,0.0,0.0,4.043956570320972e-05,18.436682651084823,0.0,12.877769688515087,-0.12822381427400575,43.672581400292984,300000.0,-32.54881232955577,3,-159.06504269842117
medium,,reinforce_minus_a2c,-10.247754600000917,0.0,0.0,-8.440074631921313e-05,-22.72160006839576,0.0,-23.542527745793933,0.16832519191462547,-82.7399779998741,-550000.0,35.586139203765484,1,-12.583861599759985
medium,,reinforce_minus_a2c,-22.10631889999786,0.0,0.0,-0.00010837257203788475,-35.0181321094646,0.0,-37.37474340431913,0.06528845047409038,-8.359223000201382,-100000.0,-10.784601077181804,3,-23.767985401229453
medium,,reinforce_minus_a2c,-35.23614110000199,0.0,0.0,-0.0003535749710843472,-5.8635982320138,0.0,-5.041645123253687,0.11943219396842664,-79.98069120045875,-500000.0,17.097930350398684,4,-33.245960800044486
medium,,reinforce_minus_a2c,-40.913712500001566,0.0,0.0,4.172155392279109e-07,-20.648144225315747,0.0,-23.896712312059606,0.1276020747214377,-95.15193450034167,-600000.0,22.910725612044985,0,-42.971881999887046
medium,,reinforce_minus_a2c,-5.422826800000621,0.0,0.0,7.605031693458386e-05,-29.051699746809078,0.0,-29.381283168006263,0.0006290318230693925,30.791600800706874,150000.0,-27.424201304300652,2,-7.5066661998152995
medium,,reinforce_minus_ppo,-141.90283060000365,0.0,0.0,0.00020036871717432625,-18.563092499995378,0.0,-18.688269780689552,-0.12636440165011742,105.37766170062787,650000.0,-55.91244572842868,2,-143.3758496999053
medium,,reinforce_minus_ppo,-156.3004179999989,0.0,0.0,-3.0349175003108186e-05,-11.91721279299071,0.0,-9.65304937905617,-0.0715310477198543,80.39543689962375,500000.0,-37.40286884166679,1,-157.48662690135825
medium,,reinforce_minus_ppo,-181.02869049999936,0.0,0.0,-0.00018330105497477156,-22.376565801234705,0.125,0.6676800485867034,0.00855367134087881,25.766224600110945,150000.0,-1.257910540858063,0,-183.5628411016678
medium,,reinforce_minus_ppo,-181.69796490000226,0.0,0.0,-6.793300633467503e-05,-16.58144945837978,0.0,-24.496973715804046,-0.06293536379991538,35.3133584000916,200000.0,-43.33341340673758,3,-182.83302809965062
medium,,reinforce_minus_ppo,-191.92881909999778,0.0,0.0,-5.413189485348191e-05,-7.054963254085095,0.0,-2.4623265454715693,-0.09424169489134893,30.003046599786103,200000.0,-47.209512995951,4,-192.08639410130672
,ppo,medium_minus_large,-18.404352900004596,0.0,0.0,-0.00018188221817028172,12.359950351464818,0.125,28.619776593963024,0.011276629524456072,13.51067950019933,50000.0,20.49695426788759,4,-19.220990097728645
,ppo,medium_minus_large,-25.402456900003017,0.0,0.0,-0.00015076844781924947,9.499155000570909,-0.125,-13.356402851225425,-0.07410127545200207,11.283123699948192,50000.0,-35.70853011518625,0,-25.519496798158798
,ppo,medium_minus_large,-46.54174179999609,0.0,0.0,-0.0002735325907214925,-11.61916078306109,0.0,-6.025705836190383,-0.005821747915934372,-8.214698600480915,0.0,3.862143643704968,3,-46.801014700278756
,ppo,medium_minus_large,-47.78955400000268,0.0,0.0,-8.394454022342401e-05,-1.4078106034032771,0.0,-1.2197952266857328,-0.04123859215401238,-0.837800800021796,0.0,-25.567863479179636,1,-47.854690900290734
,ppo,medium_minus_large,-87.88974499999676,0.0,0.0,-0.0002644544875074484,-10.639416029022698,0.0,-7.04341785399302,0.010160357227155581,-1.7355710001611442,0.0,-4.141267044019884,2,-86.70236839944482
,ppo,small_minus_large,-43.51989620000313,0.0,0.0,-0.0002148654318847587,16.045280481962948,0.125,36.445770625500586,0.011218878476599414,9.774543499836,50000.0,22.662851688421824,4,-43.8345269995807
,ppo,small_minus_large,-58.16369570000461,0.0,0.0,2.1054164173639478e-05,-2.4086256773045136,0.0,4.290145197502511,-0.005689914091811299,9.587376199837308,50000.0,-7.4856865789876395,0,-58.787025000674475
,ppo,small_minus_large,-71.50343790000261,-1.0,1.0,-0.08015071248504924,-152.49043240064844,-0.375,-47.48239323586134,-0.005909467251165146,-2.518047999848932,0.0,-19.37110612732843,1,-71.37861530179725
,ppo,small_minus_large,-84.09878919999755,0.0,0.0,-0.00012502410767400995,-9.90949405720113,0.0,-12.138488365338787,-0.0018119749638338956,-7.320156600155315,0.0,-6.356099393915969,3,-83.43981019953935
,ppo,small_minus_large,-92.27797049999936,0.0,0.0,-0.00010301579168170427,-20.376057272822578,0.0,-17.448542361508203,0.033774815262199276,-13.811084700006177,-50000.0,16.98033615218978,2,-91.3550960985267
,ppo,small_minus_medium,-23.713883899999928,-1.0,1.0,-0.08006676794482581,-151.08262179724517,-0.375,-46.262598009175605,0.03532912490284723,-1.6802471998271358,0.0,6.196757351851204,1,-23.52392440150652
,ppo,small_minus_medium,-25.115543299998535,0.0,0.0,-3.298321371447699e-05,3.68533013049813,0.0,7.825994031537562,-5.7751047856657856e-05,-3.736136000363331,0.0,2.165897420534236,4,-24.613536901852058
,ppo,small_minus_medium,-32.76123880000159,0.0,0.0,0.00017182261199288895,-11.907780677875422,0.125,17.646548048727936,0.06841136136019077,-1.6957475001108833,0.0,28.22284353619861,0,-33.26752820251568
,ppo,small_minus_medium,-37.557047400001466,0.0,0.0,0.00014850848304748254,1.709666725859961,0.0,-6.112782529148404,0.004009772952100477,0.8945420003256004,0.0,-10.218243037620937,3,-36.638795499260596
,ppo,small_minus_medium,-4.388225500002591,0.0,0.0,0.0001614386958257441,-9.73664124379988,0.0,-10.405124507515183,0.023614458035043695,-12.075513699845033,-50000.0,21.121603196209662,2,-4.652727699081879
,ppo,tiny_minus_large,-37.83478120000291,0.0,0.0,-0.00024534436239620483,-8.550199172434844,0.0,-4.384383875518324,-0.0059392474047595956,10.288402500344091,50000.0,-11.737125732728288,0,-37.93104259823667
,ppo,tiny_minus_large,-39.863019699998404,0.0,0.0,4.353983640137393e-05,1.8037500828313568,0.0,3.3926289219099317,-0.010433980604383164,-1.7414932997562573,0.0,-23.307408884677812,1,-40.92584609990445
,ppo,tiny_minus_large,-58.03832380000313,0.0,0.0,-6.93123873580781e-05,4.964191111435355,0.125,25.735461114439204,-0.012488762030441802,9.930355100292218,50000.0,13.083210152727077,4,-57.30417369835777
,ppo,tiny_minus_large,-67.80582839999624,0.0,0.0,-0.00021251607367434033,-12.182493143284887,0.0,-9.75244731807254,-0.012832783775841627,4.182624799879704,50000.0,-5.353340107376027,3,-66.94955929972275
,ppo,tiny_minus_large,-95.13693129999956,0.0,0.0,-0.00021666644634521504,-12.395438036590718,0.0,-9.848048688157235,0.019842138046936908,19.931632899748365,100000.0,2.6875887260552815,2,-93.53690119985185
,ppo,tiny_minus_medium,-12.432324299999891,0.0,0.0,-9.457591457695536e-05,-18.049354173005753,0.125,8.972018975707101,0.06816202804724247,-0.9947211996041005,0.0,23.971404382457962,0,-12.411545800077874
,ppo,tiny_minus_medium,-21.264086600000155,0.0,0.0,6.1016517047152163e-05,-0.5633323602237965,0.0,-3.726741481882158,-0.007011035859907255,12.39732340036062,50000.0,-9.215483751080995,3,-20.148544599443994
,ppo,tiny_minus_medium,-39.63397089999853,0.0,0.0,0.00011256983081220362,-7.395759240029463,0.0,-2.8843154795238206,-0.023765391554897874,-3.580324399907113,0.0,-7.413744115160512,4,-38.08318360062913
