actor_name,algorithm,contrast,end_to_end_duration__confidence_interval_high,end_to_end_duration__confidence_interval_low,end_to_end_duration__count,end_to_end_duration__first_quartile,end_to_end_duration__maximum,end_to_end_duration__mean,end_to_end_duration__median,end_to_end_duration__minimum,end_to_end_duration__sample_standard_deviation,end_to_end_duration__third_quartile,final_completion_rate__confidence_interval_high,final_completion_rate__confidence_interval_low,final_completion_rate__count,final_completion_rate__first_quartile,final_completion_rate__maximum,final_completion_rate__mean,final_completion_rate__median,final_completion_rate__minimum,final_completion_rate__sample_standard_deviation,final_completion_rate__third_quartile,final_crash_rate__confidence_interval_high,final_crash_rate__confidence_interval_low,final_crash_rate__count,final_crash_rate__first_quartile,final_crash_rate__maximum,final_crash_rate__mean,final_crash_rate__median,final_crash_rate__minimum,final_crash_rate__sample_standard_deviation,final_crash_rate__third_quartile,final_mean_progress__confidence_interval_high,final_mean_progress__confidence_interval_low,final_mean_progress__count,final_mean_progress__first_quartile,final_mean_progress__maximum,final_mean_progress__mean,final_mean_progress__median,final_mean_progress__minimum,final_mean_progress__sample_standard_deviation,final_mean_progress__third_quartile,final_mean_return__confidence_interval_high,final_mean_return__confidence_interval_low,final_mean_return__count,final_mean_return__first_quartile,final_mean_return__maximum,final_mean_return__mean,final_mean_return__median,final_mean_return__minimum,final_mean_return__sample_standard_deviation,final_mean_return__third_quartile,late_completion_rate__confidence_interval_high,late_completion_rate__confidence_interval_low,late_completion_rate__count,late_completion_rate__first_quartile,late_completion_rate__maximum,late_completion_rate__mean,late_completion_rate__median,late_completion_rate__minimum,late_completion_rate__sample_standard_deviation,late_completion_rate__third_quartile,late_mean_return__confidence_interval_high,late_mean_return__confidence_interval_low,late_mean_return__count,late_mean_return__first_quartile,late_mean_return__maximum,late_mean_return__mean,late_mean_return__median,late_mean_return__minimum,late_mean_return__sample_standard_deviation,late_mean_return__third_quartile,progress_auc__confidence_interval_high,progress_auc__confidence_interval_low,progress_auc__count,progress_auc__first_quartile,progress_auc__maximum,progress_auc__mean,progress_auc__median,progress_auc__minimum,progress_auc__sample_standard_deviation,progress_auc__third_quartile,restricted_convergence_duration__confidence_interval_high,restricted_convergence_duration__confidence_interval_low,restricted_convergence_duration__count,restricted_convergence_duration__first_quartile,restricted_convergence_duration__maximum,restricted_convergence_duration__mean,restricted_convergence_duration__median,restricted_convergence_duration__minimum,restricted_convergence_duration__sample_standard_deviation,restricted_convergence_duration__third_quartile,restricted_convergence_interactions__confidence_interval_high,restricted_convergence_interactions__confidence_interval_low,restricted_convergence_interactions__count,restricted_convergence_interactions__first_quartile,restricted_convergence_interactions__maximum,restricted_convergence_interactions__mean,restricted_convergence_interactions__median,restricted_convergence_interactions__minimum,restricted_convergence_interactions__sample_standard_deviation,restricted_convergence_interactions__third_quartile,return_auc__confidence_interval_high,return_auc__confidence_interval_low,return_auc__count,return_auc__first_quartile,return_auc__maximum,return_auc__mean,return_auc__median,return_auc__minimum,return_auc__sample_standard_deviation,return_auc__third_quartile,root_count,training_duration__confidence_interval_high,training_duration__confidence_interval_low,training_duration__count,training_duration__first_quartile,training_duration__maximum,training_duration__mean,training_duration__median,training_duration__minimum,training_duration__sample_standard_deviation,training_duration__third_quartile
large,,a2c_minus_ppo,-152.87053808000346,-197.23204165999923,5,-178.96996740000031,-143.57156500000565,-173.00974928000068,-170.33178169999883,-217.5074042999986,28.397898011527335,-154.66802800000005,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.699018593734891e-05,-0.0002186942768647171,5,-0.0002478932690310742,5.588642684539735e-05,-0.00010085204546368409,-3.253426440119611e-05,-0.00028257529093012046,0.00015381329695282026,2.8561701985729826e-06,-12.054884649375618,-24.890435572184536,5,-25.219769752338664,-5.603018756036477,-19.308222287065497,-20.93281304479933,-26.539912655723015,8.34932347557044,-18.245597226429993,-0.075,-0.3,5,-0.25,0.0,-0.175,-0.125,-0.375,0.14252192813739226,-0.125,-31.974095116890528,-71.68835457021045,5,-52.380192063834954,-25.371094838677635,-50.436092256308406,-51.49064811356715,-91.56152726087751,25.921497581912952,-31.376999004584775,-0.16639354245928717,-0.3803150911638372,5,-0.39211642277269265,-0.14723341782521393,-0.2733543168115622,-0.2235290515007663,-0.44690677938651724,0.13798146506658737,-0.15698591257262084,152.8450663402793,76.39739289992868,5,79.79587739961426,167.8900810999694,114.62122962010399,100.29677750072005,61.0492160998474,48.91605600466939,164.07419600036883,890000.0,470000.0,5,500000.0,950000.0,680000.0,650000.0,350000.0,268328.15729997476,950000.0,-65.15153175018159,-116.76640624061073,5,-114.15686520077763,-59.1311617698459,-90.95896899539616,-84.74123608747573,-135.38853235701137,33.3124900057474,-61.377049561870166,5,-155.0299331597751,-197.51524783949716,5,-181.04973999981303,-145.75887289900857,-176.17831785968593,-180.6919385990259,-216.56773069854535,27.273463606856648,-156.82330710203678
large,,reinforce_minus_a2c,144.10072697999968,-25.760787959998925,5,-29.27931289999833,247.9182897999999,38.73739084000008,4.204133999999613,-35.18423509999775,118.43750694697238,6.028078399996957,0.0,-0.6,5,0.0,0.0,-0.2,0.0,-1.0,0.44721359549995804,0.0,0.6,0.0,5,0.0,1.0,0.2,0.0,0.0,0.44721359549995804,0.0,4.058581068777656e-05,-0.5928008679404204,5,-0.00022321212372933275,0.00012494698275711258,-0.19762258904093738,-6.149375814201719e-05,-0.987960450728606,0.4418123139346925,7.264423033337408e-06,11.613839658332257,-126.67607157094378,5,-32.02144260954333,21.7560565139147,-42.61157975969154,-6.334383700967919,-206.90386348426102,94.04574903233501,10.4457344823999,0.175,-0.325,5,0.0,0.25,-0.025,0.125,-0.625,0.3468609231377902,0.125,34.13243403715362,-78.59030209501346,5,-11.375351800705147,38.08115352575908,-11.114991995016585,20.710154932223816,-139.88577073337373,74.69944323306161,36.89485410101307,0.3072228716558193,-0.39743715340170815,5,0.10035956320981598,0.3685215676137965,0.031644718012641126,0.17825074244281625,-0.7993185235075668,0.47642187012227655,0.3104102403043437,204.82697705927166,-113.93761930008368,5,-130.02057750026324,388.5825159988144,13.571322659801444,-48.579538499552655,-130.53370150016963,215.93645682655895,-11.592085199821668,600000.0,-650000.0,5,-700000.0,1250000.0,-120000.0,-350000.0,-750000.0,816700.6795638168,-50000.0,72.39233368741652,-71.4296695562887,5,24.14886507945056,84.28494536781136,16.35535057740307,63.682212663850606,-155.19405274290182,98.35699424777019,64.85478251880464,5,107.1360654592554,-24.651324060562548,5,-21.813160100678942,184.5016711986773,26.704534299910666,2.8496665007278352,-36.003979900096965,89.82112078859817,3.988473800924112
large,,reinforce_minus_ppo,-50.93022430000055,-185.93513568000088,5,-178.7558001000034,30.410885500001314,-134.2723584400006,-172.94188900000336,-199.61109459999716,93.70965302068461,-150.46389400000044,0.0,-0.6,5,0.0,0.0,-0.2,0.0,-1.0,0.447213595499958,0.0,0.6,0.0,5,0.0,1.0,0.2,0.0,0.0,0.447213595499958,0.0,-4.387653070039299e-05,-0.592974131557562,5,-0.00022035595353075976,-5.607331296619833e-06,-0.19772344108640108,-0.00015762830817300788,-0.9882083439976371,0.4418945036557797,-2.5269841367858703e-05,-9.985753245634493,-149.89825805494957,5,-37.624461365579805,0.8232434691153685,-61.919802046757034,-24.579980927397912,-233.44377613998404,96.90770427880746,-14.774035269938764,0.05,-0.6,5,-0.125,0.125,-0.2,0.0,-1.0,0.45586456322026175,0.0,-9.35730179478748,-148.8995670419889,5,-36.74644663938278,5.517855096428292,-61.55108425132498,-31.67003713161114,-231.44729799425124,96.42189293513101,-13.40949458780807,-0.052537907823883345,-0.599498669064862,5,-0.08170618246834893,-0.04527830905795005,-0.24170959879892107,-0.07838521177272073,-0.9563044360801877,0.39983369946292263,-0.04687385461539795,309.46227005973816,33.57925888002683,5,34.053618500105586,488.87929349953447,128.19255227990544,37.356379599799766,31.2163389000616,201.74979984708992,49.45713090002573,1240000.0,190000.0,5,200000.0,1900000.0,560000.0,250000.0,150000.0,751165.7606680433,300000.0,-32.35624712696427,-146.26148300197255,5,-51.10358698920001,-21.05902342362512,-74.60361841799309,-49.30208268197299,-214.32521451274772,79.02292439223638,-37.22818448241961,5,-90.0641421794764,-189.11943383930193,5,-181.76285279910553,-32.06605949986806,-149.47378355977526,-177.06126619888892,-202.50509869970483,67.86161646781215,-153.97364060130894
medium,,a2c_minus_ppo,-139.84852539999991,-155.72426227999966,5,-156.6926779999958,-136.48000380000303,-147.7863938399998,-146.05266339999798,-159.5916460000044,10.10416713620239,-140.1149779999978,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020128647426496116,-7.727936911980927e-05,5,4.043956570320972e-05,0.0002994430762308653,6.690686859518457e-05,5.405157131610494e-05,-0.00018371827051399947,0.00017395970005389566,0.0001243184002397424,13.79414941995869,0.885551505115376,5,-1.1913650220712952,18.436682651084823,7.361978115062664,10.4886072468137,-1.7284215759189578,8.661266022907224,10.804387275405048,0.075,0.0,5,0.0,0.125,0.025,0.0,0.0,0.055901699437494755,0.0,19.65513376719868,6.901040757719841,5,10.69301338731671,24.56439236064631,12.920794476199598,12.877769688515087,2.579318577782118,7.880715444113707,13.889478366737762,-0.12406149759629943,-0.21204720824728032,5,-0.21367388885977556,-0.11904840338055889,-0.16555915592440135,-0.12822381427400575,-0.23985623963447977,0.056744111940789085,-0.1269934334731868,136.98209293977342,67.56514810013395,5,74.586060899921,163.13541489949785,102.45919082008186,109.98373780024485,43.672581400292984,45.58435396160861,120.91815910045261,880000.0,450000.0,5,500000.0,1050000.0,660000.0,700000.0,300000.0,281513.7652051849,750000.0,-27.572514696723584,-62.35254238135491,5,-64.30744334634969,-24.168636152903048,-44.50042885967376,-32.54881232955577,-72.98900804543227,22.452894855956995,-28.488244424128027,5,-139.56461010106796,-156.142743460193,5,-158.84043330126224,-135.86918350009,-147.85367678063048,-144.90276530159827,-159.06504269842117,10.62410667323756,-140.59095910178075
medium,,reinforce_minus_a2c,-10.689496340000186,-34.88120522000099,5,-35.23614110000199,-5.422826800000621,-22.78535078000059,-22.10631889999786,-40.913712500001566,15.352274419989971,-10.247754600000917,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55438358182991e-05,-0.0002337360539503397,5,-0.00010837257203788475,7.605031693458386e-05,-9.397615139352666e-05,-8.440074631921313e-05,-0.0003535749710843472,0.00016241120662350032,4.172155392279109e-07,-13.458127733633244,-30.244986219340184,5,-29.051699746809078,-5.8635982320138,-22.660634876399797,-22.72160006839576,-35.0181321094646,10.951572072665707,-20.648144225315747,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.609749256712252,-31.983530967415323,5,-29.381283168006263,-5.041645123253687,-23.847382350686523,-23.896712312059606,-37.37474340431913,11.909709041090538,-23.542527745793933,0.14225734544811058,0.03942468301368198,5,0.06528845047409038,0.16832519191462547,0.09625538858032992,0.11943219396842664,0.0006290318230693925,0.06484054856918894,0.1276020747214377,0.25512028040902807,-87.15290324017806,5,-82.7399779998741,30.791600800706874,-47.0880451800338,-79.98069120045875,-95.15193450034167,55.290787790853464,-8.359223000201382,-40000.0,-560000.0,5,-550000.0,150000.0,-320000.0,-500000.0,-600000.0,329013.677527242,-100000.0,26.818331996403924,-14.029295875607755,5,-10.784601077181804,35.586139203765484,7.477198556945339,17.097930350398684,-27.424201304300652,25.847948758267563,22.910725612044985,5,-12.789808200076004,-35.240734200218505,5,-33.245960800044486,-7.5066661998152995,-24.015271200147254,-23.767985401229453,-42.971881999887046,14.558769163957681,-12.583861599759985
medium,,reinforce_minus_ppo,-152.74137494000243,-185.65645169999988,5,-181.69796490000226,-141.90283060000365,-170.5717446200004,-181.02869049999936,-191.92881909999778,20.7053285399027,-156.3004179999989,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.856847236320299e-05,-0.00012687684695618097,5,-6.793300633467503e-05,0.00020036871717432625,-2.7069282798342088e-05,-5.413189485348191e-05,-0.00018330105497477156,0.00014013332672345558,-3.0349175003108186e-05,-10.329039011048275,-19.692153212167987,5,-18.563092499995378,-7.054963254085095,-15.298656761337133,-16.58144945837978,-22.376565801234705,5.953812646637756,-11.91721279299071,0.075,0.0,5,0.0,0.125,0.025,0.0,0.0,0.055901699437494755,0.0,-2.6484684745651803,-19.204707274408673,5,-18.688269780689552,0.6676800485867034,-10.926587874486927,-9.65304937905617,-24.496973715804046,10.631224608582452,-2.4623265454715693,-0.026303208933725574,-0.10443106007801217,5,-0.09424169489134893,0.00855367134087881,-0.06930376734407144,-0.0715310477198543,-0.12636440165011742,0.04996277193550195,-0.06293536379991538,85.3062937202587,29.370380159977138,5,30.003046599786103,105.37766170062787,55.371145640048056,35.3133584000916,25.766224600110945,35.528768024032,80.39543689962375,530000.0,180000.0,5,200000.0,650000.0,340000.0,200000.0,150000.0,221923.41021172146,500000.0,-18.088111687209867,-50.469943804580765,5,-47.209512995951,-1.257910540858063,-37.02323030272842,-43.33341340673758,-55.91244572842868,21.093147278203666,-37.40286884166679,5,-154.23540342054838,-186.82629970111992,5,-183.5628411016678,-143.3758496999053,-171.86894798077773,-182.83302809965062,-192.08639410130672,20.52078900826748,-157.48662690135825
small,,a2c_minus_ppo,-119.0156996399979,-136.60031271999907,5,-132.16762599999856,-114.89986769999814,-127.17178289999865,-125.13078099999984,-143.5866489,11.175313382461706,-120.07399089999672,0.6,0.0,5,0.0,1.0,0.2,0.0,0.0,0.44721359549995804,0.0,0.0,-0.6,5,0.0,0.0,-0.2,0.0,-1.0,0.44721359549995804,0.0,0.04812268051385684,-0.00012975425183863186,5,-0.000123270781203777,0.08013222823095434,0.016032060843579044,-6.537110827653514e-05,-0.00016842929425453512,0.03583376655695781,0.0003851471706757259,104.23249944851064,3.5937685813157714,5,5.259717271610356,165.62049696001338,40.6940392813741,12.15050318125651,-2.3505474089491827,70.44560770199783,22.790026402939446,0.225,0.0,5,0.0,0.375,0.075,0.0,0.0,0.16770509831248423,0.0,43.9963669620621,2.8568973411222545,5,3.891117919318816,65.31956040115071,20.952748773544407,18.66725216012867,-3.2462223004156954,26.697380429469092,20.132035687539542,-0.2036598803166214,-0.23746033084517543,5,-0.22020906316767608,-0.19298595676837393,-0.21905160737515078,-0.21913246811030918,-0.2520810211144032,0.02144166893361512,-0.21084952771499155,126.9665173393616,96.95014237980213,5,97.147914500154,140.56930519899834,110.71603905951997,109.31755509887444,90.5686638999141,19.434885743812647,115.97675659965898,810000.0,620000.0,5,600000.0,900000.0,710000.0,700000.0,600000.0,124498.99597988732,750000.0,-53.1900093687315,-79.07251962971544,5,-71.47722519365624,-51.44265485141722,-64.72122350429771,-57.37681524439864,-90.46546128380425,16.429694318960347,-52.843960948212214,5,-118.69497217927201,-135.71442428006338,5,-130.97631520060168,-114.36489799856281,-126.58312603965787,-124.76059330050339,-142.82158789925597,10.943426231972884,-119.99223579936552
small,,reinforce_minus_a2c,-4.976640240001143,-11.543440199999532,5,-9.572920399998111,-3.5062579000023106,-8.012486720000016,-7.146926400000666,-14.474449399998775,4.250674253216174,-5.361879500000214,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1437879189113431e-05,-0.00018757582811135265,5,-0.00019449344244004685,8.418636698048765e-05,-8.836565647887262e-05,-0.0001123976330812404,-0.00021824731129771457,0.00012858701524634593,-8.76262555848939e-07,-14.919227305119382,-29.78701995217927,5,-28.217391757528162,-11.743489688767,-22.353123628649325,-26.891525339620188,-32.80439545310992,9.768904578013963,-12.108815904221359,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.32884025622509,-29.673870867649565,5,-29.38923729175403,-14.97410877789082,-23.501355561937327,-25.338431449203654,-32.12622415276806,7.847564014516319,-15.678776138070077,0.1292145924692972,0.09191039467080345,5,0.09363774775535993,0.14153117396095294,0.11056249357005032,0.11027341609799546,0.08100153087265094,0.02433759047981312,0.12636859916329235,-22.64166537942474,-59.63627270009565,5,-52.27300960003413,-16.93904609902347,-40.52026193960082,-37.46458669865933,-74.99184330007847,23.851077626542303,-20.93282400020871,-200000.0,-450000.0,5,-400000.0,-150000.0,-320000.0,-300000.0,-550000.0,160468.06535881213,-200000.0,28.707958271151814,8.320683434709292,5,13.321135669808257,35.72793720891943,18.583983705311216,16.844649184252887,0.6280425200813511,13.305215858015616,26.39815394349415,5,-8.128646379816928,-14.045316979816198,5,-11.279215599697636,-7.188937199936845,-10.782918999862886,-10.563299900222773,-17.03211349996309,3.9006300801676614,-7.851028799494088
small,,reinforce_minus_ppo,-128.73662585999773,-144.47470181999853,5,-135.67388390000087,-127.22091729999738,-135.18426961999867,-130.49266050000006,-153.1595692999981,10.518232329162643,-129.37431709999692,0.6,0.0,5,0.0,1.0,0.2,0.0,0.0,0.44721359549995804,0.0,0.0,-0.6,5,0.0,0.0,-0.2,0.0,-1.0,0.44721359549995804,0.0,0.048111814118940874,-0.00028344587125945787,5,-0.0002836184195742497,0.08021641459793483,0.01594369518710017,-0.00012414704375962593,-0.00036292273669458197,0.03593037728361417,0.0002727495375944855,87.59687643478956,-22.882772703828966,5,-22.957674485917806,153.51168105579205,18.34091565272478,-10.014369050170473,-29.24207274856937,76.43051937800021,0.40701349248951146,0.225,0.0,5,0.0,0.375,0.075,0.0,0.0,0.16770509831248423,0.0,24.986795171756974,-24.031946941867528,5,-25.498119372435212,49.64078426308063,-2.5486067883929193,-11.994188465228518,-28.58465374961935,31.84519926905103,3.6931433822378494,-0.08766041228251353,-0.1293178153276874,5,-0.12549472035494924,-0.07867788920672314,-0.10848911380510047,-0.111984425895723,-0.14180760501640777,0.026817120411006125,-0.0844809285516992,93.43630910006505,46.955245139773254,5,40.98491329958051,103.104718500339,70.19577711991914,76.21509049994529,38.29565429987997,29.505069696019056,92.37850899985096,530000.0,250000.0,5,200000.0,600000.0,390000.0,450000.0,200000.0,181659.0212458495,500000.0,-26.34920989121188,-64.0605151942232,5,-58.15608952384798,-15.714717642497789,-46.1372397989865,-56.74877272431729,-73.62081209955136,24.11268600751374,-26.445807004718063,5,-131.30334329924517,-146.20463971939753,5,-138.16525240053852,-130.5555356995883,-137.36604503952077,-132.61162209999748,-154.1008034989536,9.81462950742613,-131.3970114985259
tiny,,a2c_minus_ppo,-132.34460272000143,-152.49110108000022,5,-145.618228000003,-127.776755400002,-141.54371290000125,-137.47803260000364,-162.49981339999795,13.356923120464469,-134.34573509999973,0.0,-0.8,5,-1.0,0.0,-0.4,0.0,-1.0,0.5477225575051662,0.0,0.8,0.0,5,0.0,1.0,0.4,0.0,0.0,0.5477225575051662,1.0,0.00010268059595386347,-0.3575881542115293,5,-0.43662991359186576,0.0001569614332677105,-0.1773783290627848,-7.23510567155472e-05,-0.4504822576835852,0.24303530410725596,0.00013591558497472178,6.727919031164674,-141.00588268160408,5,-173.40137565385066,9.096171872464168,-66.82028054570583,3.3960947509233392,-179.2178720280519,99.9911429432356,6.025578329985848,-0.325,-0.825,5,-0.75,-0.25,-0.55,-0.375,-1.0,0.31374750995027834,-0.375,-53.08441660685738,-145.76328402427646,5,-127.67157162722383,-40.148281648446755,-94.22721601887966,-61.83915611231555,-179.8338888938732,58.05657631805438,-61.64318181253893,-0.4316302093499635,-0.4902931082100205,5,-0.49476449896230484,-0.40673503346143414,-0.4611665215211992,-0.4603667124326005,-0.5007849153464461,0.03868245951149408,-0.4431814474032102,288.5110647399466,240.53022727939387,5,251.68175079888533,293.2489569996724,266.181968059692,275.45530110061736,220.22277709939954,30.507582874434885,290.30105429988544,1820000.0,1520000.0,5,1700000.0,1850000.0,1700000.0,1800000.0,1350000.0,203100.960115899,1800000.0,-139.44809024561923,-165.7225236394127,5,-166.42362539603283,-125.81227875823669,-154.6610356935501,-159.61320210725754,-168.0760826488702,17.151806096059584,-153.37998955735318,5,-130.62938855994943,-150.5437198812353,5,-143.5421279019065,-126.59872890065162,-139.67321254076523,-135.93441840007654,-160.2832542020078,13.071205622155613,-132.0075332991837
